epoch,accuracy,loss,val_accuracy,val_loss
0,0.926716685295105,0.25974053144454956,0.9588000178337097,0.13372167944908142
1,0.9678333401679993,0.10854622721672058,0.9708999991416931,0.09659770876169205
2,0.9784666895866394,0.07226087898015976,0.9765999913215637,0.07557771354913712
3,0.9836833477020264,0.053182292729616165,0.9775000214576721,0.07360382378101349
4,0.9886333346366882,0.0390811525285244,0.9757000207901001,0.07327893376350403
5,0.9914000034332275,0.030139552429318428,0.9793999791145325,0.06724787503480911
6,0.9932000041007996,0.02372143417596817,0.9797000288963318,0.06492027640342712
7,0.9948166608810425,0.018205909058451653,0.98089998960495,0.06638289988040924
8,0.9958666563034058,0.014671949669718742,0.980400025844574,0.07050130516290665
9,0.9965333342552185,0.011755526065826416,0.98089998960495,0.06745491176843643
10,0.9973166584968567,0.009632638655602932,0.979200005531311,0.07893359661102295
11,0.9978166818618774,0.008132773451507092,0.9797000288963318,0.08011317253112793
12,0.9976333379745483,0.008304175920784473,0.9807000160217285,0.07389667630195618
13,0.9985833168029785,0.005418686196208,0.983299970626831,0.071712926030159
14,0.9980833530426025,0.006889622658491135,0.9787999987602234,0.0898931697010994
15,0.9988333582878113,0.0044417669996619225,0.982699990272522,0.0754748061299324
16,0.998033344745636,0.00574127770960331,0.9807999730110168,0.08064161986112595
17,0.9985666871070862,0.00434256624430418,0.9797999858856201,0.08782852441072464
18,0.9987166523933411,0.004316492937505245,0.9786999821662903,0.0940917357802391
19,0.999750018119812,0.0015903748571872711,0.984000027179718,0.07743511348962784
20,0.9984833598136902,0.005402206443250179,0.9794999957084656,0.09740500152111053
21,0.998116672039032,0.005880666896700859,0.9793000221252441,0.10498411953449249
22,0.9994500279426575,0.002286108210682869,0.9805999994277954,0.09963178634643555
23,0.9998000264167786,0.0009902106830850244,0.9815999865531921,0.09989278763532639
24,0.9979666471481323,0.00741131417453289,0.9790999889373779,0.11140646040439606
25,0.9986833333969116,0.003912695683538914,0.9805999994277954,0.09811294078826904
26,0.9991666674613953,0.002492197323590517,0.9821000099182129,0.09558030962944031
27,0.9987833499908447,0.003441976150497794,0.9803000092506409,0.10705365240573883
28,0.9992833137512207,0.002345692366361618,0.9814000129699707,0.10275651514530182
29,0.9983166456222534,0.004706797655671835,0.9815000295639038,0.09681417047977448
